scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S1,SAMCS,15,1015,0,61.5,61.5,1513,28.61,11.7,45.17,6.19,11.61,10.84,12.53,0.34,120,1260.8333,1.5,1,,,,0.45,0.35,0.2,4
S1,BASELINE,16,1016,0,62,62,1507,14.14,6.13,23.6,3.83,11.64,11.07,12.43,0.31,248,607.6613,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,16,1016,0,63.53,63.53,1507,27.84,14.23,44.22,6.48,11.64,11.07,12.43,0.31,124,1215.3226,1.53,1,,,,0.45,0.35,0.2,4
S1,BASELINE,17,1017,0,63,63,1510,12.93,6.69,22,3.33,11.57,10.79,12.18,0.28,252,599.2063,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,17,1017,0,64.545,64.545,1510,26.47,12.51,40.9,5.8,11.57,10.79,12.18,0.28,126,1198.4127,1.545,1,,,,0.45,0.35,0.2,4
S1,BASELINE,18,1018,0,59,59,1513,14.54,5.51,21.36,3.53,11.55,10.77,12.24,0.35,236,641.1017,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,18,1018,0,60.485,60.485,1513,28.89,16.97,41.6,6.09,11.55,10.77,12.24,0.35,118,1282.2034,1.485,1,,,,0.45,0.35,0.2,4
S1,BASELINE,19,1019,0,58,58,1524,14.69,6.2,21.99,3.51,11.6,10.97,12.81,0.33,232,656.8966,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,19,1019,0,59.47,59.47,1524,29.57,10.09,42.61,6.53,11.6,10.97,12.81,0.33,116,1313.7931,1.47,1,,,,0.45,0.35,0.2,4
S1,BASELINE,20,1020,0,64,64,1507,13.2,5,21.85,3.52,11.6,10.74,12.55,0.31,256,588.6719,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,20,1020,0,65.56,65.56,1507,26.44,12.2,42.47,6.39,11.6,10.74,12.55,0.31,128,1177.3438,1.56,1,,,,0.45,0.35,0.2,4
S1,BASELINE,21,1021,0,62,62,1504,14.11,6.69,24.28,3.65,11.52,10.66,12.3,0.3,248,606.4516,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,21,1021,0,63.53,63.53,1504,27.72,14.9,45.47,6.39,11.52,10.66,12.3,0.3,124,1212.9032,1.53,1,,,,0.45,0.35,0.2,4
S1,BASELINE,22,1022,0,61,61,1514,14.13,5.87,20.33,3.24,11.62,11,12.25,0.28,244,620.4918,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,22,1022,0,62.515,62.515,1514,28.03,12.17,38.97,5.74,11.62,11,12.25,0.28,122,1240.9836,1.515,1,,,,0.45,0.35,0.2,4
S1,BASELINE,23,1023,0,60,60,1515,14.48,6.98,26.18,3.27,11.58,11.06,12.28,0.31,240,631.25,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,23,1023,0,61.5,61.5,1515,28.66,15,48.52,5.7,11.58,11.06,12.28,0.31,120,1262.5,1.5,1,,,,0.45,0.35,0.2,4
S1,BASELINE,24,1024,0,63,63,1510,14.36,5,23.63,3.34,11.61,10.92,12.15,0.29,252,599.2063,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,24,1024,0,64.545,64.545,1510,27.83,8.79,46.54,6.76,11.61,10.92,12.15,0.29,126,1198.4127,1.545,1,,,,0.45,0.35,0.2,4
S1,BASELINE,25,1025,0,58,58,1500,14.79,7.26,21.18,3.36,11.64,11.08,12.2,0.26,232,646.5517,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,25,1025,0,59.47,59.47,1500,29.34,19.23,40.52,5.73,11.64,11.08,12.2,0.26,116,1293.1034,1.47,1,,,,0.45,0.35,0.2,4
S1,BASELINE,26,1026,0,58,58,1512,14.88,8.48,26.78,3.92,11.68,11.13,12.35,0.27,232,651.7241,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,26,1026,0,59.47,59.47,1512,29.63,12.04,53.7,7.12,11.68,11.13,12.35,0.27,116,1303.4483,1.47,1,,,,0.45,0.35,0.2,4
S1,BASELINE,27,1027,0,60,60,1523,14.39,6.16,21.8,3.65,11.69,10.67,12.51,0.35,240,634.5833,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,27,1027,0,61.5,61.5,1523,28.72,13.69,43.56,6.76,11.69,10.67,12.51,0.35,120,1269.1667,1.5,1,,,,0.45,0.35,0.2,4
S1,BASELINE,28,1028,0,61,61,1514,14.14,5.73,24.56,3.53,11.59,10.68,12.29,0.35,244,620.4918,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,28,1028,0,62.515,62.515,1514,28.09,13.75,45.76,6.39,11.59,10.68,12.29,0.35,122,1240.9836,1.515,1,,,,0.45,0.35,0.2,4
S1,BASELINE,29,1029,0,58,58,1502,15.55,9.85,23.66,3.32,11.59,10.94,12.31,0.32,232,647.4138,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,29,1029,0,59.47,59.47,1502,30.16,15.46,44.85,6.46,11.59,10.94,12.31,0.32,116,1294.8276,1.47,1,,,,0.45,0.35,0.2,4
S1,BASELINE,30,1030,0,58,58,1509,14.9,7.71,21.83,3.24,11.61,10.87,12.2,0.32,232,650.431,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,30,1030,0,59.47,59.47,1509,29.58,14.02,45.31,6.37,11.61,10.87,12.2,0.32,116,1300.8621,1.47,1,,,,0.45,0.35,0.2,4
S2,BASELINE,1,1001,0,60,60,4505,42.91,31.38,58.57,5.81,19.54,18.59,20.17,0.31,240,1877.0833,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,1,1001,0,69,69,4505,14.15,6.54,39.42,6.63,19.54,18.59,20.17,0.31,840,536.3095,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,2,1002,0,60,60,4549,42.82,23.31,53.78,4.99,19.56,18.92,20.2,0.32,240,1895.4167,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,2,1002,0,69,69,4549,13.84,5,40,6.53,19.56,18.92,20.2,0.32,840,541.5476,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,3,1003,0,60,60,4531,43.31,30.1,57.98,6.19,19.64,18.93,20.27,0.29,240,1887.9167,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,3,1003,0,69,69,4531,14.48,5.26,42.96,6.72,19.64,18.93,20.27,0.29,840,539.4048,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,4,1004,0,61,61,4567,43.23,32.14,59.29,5.51,19.5,18.58,20.23,0.35,244,1871.7213,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,4,1004,0,70.015,70.015,4567,14.52,6.71,38.93,6.2,19.5,18.58,20.23,0.35,856,533.528,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,5,1005,0,62,62,4580,42.57,32.15,57.55,5.3,19.55,18.72,20.19,0.3,248,1846.7742,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,5,1005,0,71.03,71.03,4580,14.19,7.85,39.5,6.21,19.55,18.72,20.19,0.3,872,525.2294,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,6,1006,0,60,60,4533,42.86,30.53,58.41,5.37,19.53,18.72,20.4,0.34,240,1888.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,6,1006,0,69,69,4533,14.12,5,42.58,7.29,19.53,18.72,20.4,0.34,840,539.6429,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,7,1007,0,61,61,4544,42.46,25.35,58.19,5.26,19.5,18.9,20.14,0.31,244,1862.2951,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,7,1007,0,70.015,70.015,4544,13.73,5.87,34.41,5.57,19.5,18.9,20.14,0.31,856,530.8411,9.015,8,,,,0.45,0.35,0.2,4
