scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S3,BASELINE,16,1016,0,83,83,4079,28.21,5,54.62,14.59,15.64,11.03,20.78,3.59,332,1228.6145,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,16,1016,0,93.595,93.595,4079,36.05,8.34,82.72,17.89,15.64,11.03,20.78,3.59,348,1172.1264,10.595,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,17,1017,0,82,82,4089,28.59,7.82,56.08,15.11,15.63,11.05,21.05,3.52,328,1246.6463,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,17,1017,0,91.33,91.33,4089,37.23,12.47,84.48,18.34,15.63,11.05,21.05,3.53,332,1231.6265,9.33,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,18,1018,0,81,81,4058,28.84,5.58,64.62,15,15.61,11.11,21.06,3.54,324,1252.4691,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,18,1018,0,90.315,90.315,4058,38.32,11.48,83.99,18.16,15.62,11.11,21.1,3.54,318,1276.1006,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,19,1019,0,81,81,4038,28.17,7.59,59.26,14.67,15.59,11.16,21,3.54,324,1246.2963,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,19,1019,0,90.315,90.315,4038,37.69,7.83,87.9,18.53,15.59,11.16,21,3.55,318,1269.8113,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,20,1020,0,80,80,4022,28.55,6.04,62.68,15.95,15.55,11.04,21.08,3.5,320,1256.875,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,20,1020,0,89.3,89.3,4022,38.3,11.59,85.02,19.1,15.56,11.04,21.08,3.51,304,1323.0263,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,21,1021,0,80,80,4062,29.28,5.27,66.41,16.29,15.5,11.1,20.91,3.51,320,1269.375,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,21,1021,0,89.3,89.3,4062,38.88,12.14,83.05,19.18,15.5,11.1,20.91,3.51,304,1336.1842,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,22,1022,0,81,81,4077,28.76,5,58.27,14.88,15.58,11.05,20.87,3.51,324,1258.3333,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,22,1022,0,90.315,90.315,4077,38.17,9.76,75.18,18.88,15.58,11.05,20.87,3.51,318,1282.0755,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,23,1023,0,79,79,4016,28.92,6.04,67.17,16.07,15.43,11.01,20.94,3.44,316,1270.8861,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,23,1023,0,88.285,88.285,4016,39.3,13.27,87.47,18.81,15.43,11.01,20.94,3.44,290,1384.8276,9.285,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,24,1024,0,81,81,4014,28.18,7.46,55.01,14.52,15.56,11.18,20.93,3.47,324,1238.8889,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,24,1024,0,90.315,90.315,4014,37.81,10.01,82,18.9,15.56,11.18,20.93,3.47,318,1262.2642,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,25,1025,0,81,81,4071,28.47,6.38,54.51,15.08,15.65,11.21,21.06,3.52,324,1256.4815,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,25,1025,0,90.315,90.315,4071,38.15,12.43,84.3,19.31,15.65,11.21,21.06,3.52,318,1280.1887,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,26,1026,0,80,80,4067,28.81,7.48,56.11,14.57,15.55,10.96,21.38,3.46,320,1270.9375,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,26,1026,0,90.55,90.55,4067,28.34,7.48,86.55,12.2,15.55,10.96,21.38,3.46,398,1021.8593,10.55,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,27,1027,0,80,80,4016,29.15,6.68,59.67,15.15,15.52,10.97,20.95,3.54,320,1255,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,27,1027,0,89.3,89.3,4016,39.09,12.85,85.65,17.92,15.53,10.97,20.95,3.54,304,1321.0526,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,28,1028,0,79,79,4022,29.16,5,66.21,16.04,15.43,10.91,21.21,3.56,316,1272.7848,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,28,1028,0,88.285,88.285,4022,39.47,11.28,87.82,19.3,15.43,10.91,21.21,3.56,290,1386.8966,9.285,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,29,1029,0,79,79,4031,28.92,6.24,58.36,14.88,15.44,10.98,20.94,3.5,316,1275.6329,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,29,1029,0,88.285,88.285,4031,39.71,10.89,81.43,18.29,15.44,10.98,20.94,3.5,290,1390,9.285,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,30,1030,0,79,79,4052,29.01,5,60.18,15.11,15.45,11.22,21.12,3.46,316,1282.2785,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,30,1030,0,88.285,88.285,4052,39.92,10.37,87.12,18.6,15.45,11.22,21.12,3.47,290,1397.2414,9.285,7,0,0,6,0.45,0.35,0.2,4
